,Date,Temp,Humidity,WindSpeed,Precip
326,5/21/17,54,66,10,0
327,5/22/17,57,87,16,1.12
328,5/23/17,68,71,15,0.14
329,5/24/17,65,77,9,0
330,5/25/17,60,53,16,0.07
331,5/26/17,52,71,7,0
332,5/27/17,57,52,13,0
333,5/28/17,56,44,12,0
334,5/29/17,55,54,11,0
335,5/30/17,58,59,9,0
336,5/31/17,52,71,10,0
337,6/1/17,62,73,6,0
338,6/2/17,62,71,7,0
339,6/3/17,60,64,6,0
340,6/4/17,64,78,7,0
341,6/5/17,68,84,9,0
342,6/6/17,72,71,6,0
343,6/7/17,72,45,9,0
344,6/8/17,63,40,13,0
345,6/9/17,62,55,12,0
346,6/10/17,62,75,10,0
347,6/11/17,68,74,12,0
348,6/12/17,72,75,12,0
349,6/13/17,68,85,10,0
350,6/14/17,70,83,15,0
351,6/15/17,71,83,13,0
352,6/16/17,74,78,12,0
353,6/17/17,76,81,15,0
354,6/18/17,76,79,15,0
355,6/19/17,75,81,9,0
356,6/20/17,75,82,6,0
357,6/21/17,80,79,12,0
358,6/22/17,84,55,13,0
359,6/23/17,78,45,11,0
360,6/24/17,75,61,8,0
361,6/25/17,78,85,12,0
362,6/26/17,85,59,12,0
363,6/27/17,84,63,11,0.06
364,6/28/17,68,69,13,0
365,6/29/17,68,66,9,0
366,6/30/17,70,71,6,0
367,7/1/17,72,75,8,0
368,7/2/17,74,81,7,0
369,7/3/17,82,73,9,0
370,7/4/17,86,62,14,0
371,7/5/17,86,61,9,0
372,7/6/17,75,68,7,0.24
373,7/7/17,72,67,9,0
374,7/8/17,70,63,7,0
375,7/9/17,70,60,9,0
376,7/10/17,72,80,15,0.07
377,7/11/17,74,79,6,0
378,7/12/17,74,88,9,0.01
379,7/13/17,76,87,7,0.69
380,7/14/17,78,70,7,0
381,7/15/17,77,80,7,0
382,7/16/17,76,76,7,0
383,7/17/17,72,91,9,0.85
384,7/18/17,82,77,11,0.01
385,7/19/17,82,77,13,0
386,7/20/17,80,78,14,0
387,7/21/17,84,73,14,0
388,7/22/17,85,71,15,0
389,7/23/17,83,46,14,0
390,7/24/17,74,52,10,0
391,7/25/17,80,72,10,0.15
392,7/26/17,78,68,7,0
393,7/27/17,78,83,11,0.24
394,7/28/17,86,74,5,0.39
395,7/29/17,84,66,8,0
396,7/30/17,84,63,6,0
397,7/31/17,78,71,8,0
398,8/1/17,75,58,10,0
399,8/2/17,75,73,8,0
400,8/3/17,77,89,5,0.08
401,8/4/17,76,94,3,0.52
402,8/5/17,77,84,4,0
403,8/6/17,80,64,6,0
404,8/7/17,80,65,6,0
405,8/8/17,80,65,9,0
406,8/9/17,84,64,11,0
407,8/10/17,84,67,8,0
408,8/11/17,88,64,8,0
409,8/12/17,79,78,5,0.6
410,8/13/17,74,88,6,1.51
411,8/14/17,72,75,10,0
412,8/15/17,70,76,6,0
413,8/16/17,74,77,8,0.09
414,8/17/17,71,68,7,0
415,8/18/17,68,77,8,0
416,8/19/17,71,61,10,0
417,8/20/17,65,46,12,0
418,8/21/17,70,51,7,0
419,8/22/17,72,59,7,0
420,8/23/17,72,71,6,0
421,8/24/17,76,82,10,0
422,8/25/17,69,61,12,0
423,8/26/17,72,75,13,0
424,8/27/17,76,82,12,0
425,8/28/17,76,86,12,0
426,8/29/17,78,79,20,0.34
427,8/30/17,73,73,6,0
428,8/31/17,73,90,5,0
429,9/1/17,74,66,12,0.12
430,9/2/17,64,52,8,0
431,9/3/17,64,65,5,0
432,9/4/17,68,78,9,0
433,9/5/17,72,78,12,0.13
434,9/6/17,71,70,14,0.45
435,9/7/17,62,66,10,0
436,9/8/17,63,90,7,0.49
437,9/9/17,60,67,15,0
438,9/10/17,62,66,12,0
439,9/11/17,64,66,7,0
440,9/12/17,66,70,11,0
441,9/13/17,66,91,19,0.28
442,9/14/17,73,93,11,0.04
443,9/15/17,72,77,8,0.03
444,9/16/17,64,72,7,0.12
445,9/17/17,67,65,7,0
446,9/18/17,68,82,12,0.05
447,9/19/17,75,67,14,0
448,9/20/17,65,51,15,0
449,9/21/17,60,56,12,0
450,9/22/17,67,80,11,0.94
451,9/23/17,62,71,10,0.34
452,9/24/17,56,59,16,0
453,9/25/17,56,58,7,0
454,9/26/17,57,70,7,0
455,9/27/17,60,78,11,0
456,9/28/17,66,89,9,0.05
